no,id,title,type,platform,friend_id,country,region,sent_date,received_date,tags,url,friend_url
,CNTM27681,南京中山陵,配对,icardyou,轻触梦境,China,江苏,4/10/2020 0:18,4/19/2020 20:27,南京 景点 中山陵,https://icardyou.icu/sendpostcard/postcardDetail/1055467,https://icardyou.icu/userInfo/homePage?userId=21252
,CNSH15286,外滩,活动,icardyou,Major K,China,上海,5/9/2020 19:12,5/12/2020 9:04,上海 景点 摄影 上海人民美术出版社,https://icardyou.icu/sendpostcard/postcardDetail/1064690,https://icardyou.icu/userInfo/homePage?userId=35926
,CNHL1801,请回答1988,活动,icardyou,潘潘,China,黑龙江,5/9/2020 12:54,5/13/2020 20:14,韩剧,https://icardyou.icu/sendpostcard/postcardDetail/1064692,https://icardyou.icu/userInfo/homePage?userId=37981
,CNHN7202,双窟北洞力士像,活动,icardyou,judy66,China,湖南,5/12/2020 14:33,5/15/2020 21:19,景点 龙门石窟,https://icardyou.icu/sendpostcard/postcardDetail/1064750,https://icardyou.icu/userInfo/homePage?userId=36968
,CNCQ5707,重庆印象磁器口宝轮寺,活动,icardyou,Aquarius,China,重庆,6/26/2020 12:41,6/30/2020 19:03,重庆 景点 寺庙,https://icardyou.icu/sendpostcard/postcardDetail/1076769,https://icardyou.icu/userInfo/homePage?userId=37657
,CNSC2710,成都熊猫基地,活动,icardyou,Irene_Sol,China,四川,6/25/2020 19:25,7/3/2020 8:13,成都 熊猫 动物,https://icardyou.icu/sendpostcard/postcardDetail/1076771,https://icardyou.icu/userInfo/homePage?userId=38163
,CNHN7380,湖南长沙,活动,icardyou,90后的骏（收集关于马儿、火车的明信片）,China,湖南,6/25/2020 21:02,7/7/2020 20:26,长沙 邮资片,https://icardyou.icu/sendpostcard/postcardDetail/1076773,https://icardyou.icu/userInfo/homePage?userId=19829
,CNXJ0178,陆川龙珠湖景区,活动,icardyou,笨笨兔,China,新疆,7/4/2020 1:03,7/15/2020 20:12,景点 门票 广西,https://icardyou.icu/sendpostcard/postcardDetail/1076778,https://icardyou.icu/userInfo/homePage?userId=2847
,CNJS11572,福建南靖土楼 山西平遥古城,活动,icardyou,Nicole,China,江苏,6/26/2020 18:58,6/29/2020 19:33,南靖 平遥 土楼 摄影 景点,https://icardyou.icu/sendpostcard/postcardDetail/1076815,https://icardyou.icu/userInfo/homePage?userId=36659
,CNZJ16752,荆山第一漂——甘水漂流,活动,icardyou,Nord,China,浙江,7/1/2020 16:06,7/5/2020 15:33,景点 邮资片,https://icardyou.icu/sendpostcard/postcardDetail/1076820,https://icardyou.icu/userInfo/homePage?userId=31217
,CNSH16471,从外滩20号和平饭店主楼眺望浦东陆家嘴,活动,icardyou,Major K,China,上海,6/28/2020 18:53,6/30/2020 19:07,上海 摄影 景点,https://icardyou.icu/sendpostcard/postcardDetail/1077148,https://icardyou.icu/userInfo/homePage?userId=35926
,CNBJ25192,重庆大学,活动,icardyou,Latng,China,北京,7/14/2020 16:04,7/20/2020 11:58,学校 重庆大学,https://icardyou.icu/sendpostcard/postcardDetail/1077191,https://icardyou.icu/userInfo/homePage?userId=28601
,CNJL1208,《云南映像》舞台剧照,活动,icardyou,常明明,China,吉林,8/4/2020 20:10,8/9/2020 23:13,云南 邮资片,https://icardyou.icu/sendpostcard/postcardDetail/1077538,https://icardyou.icu/userInfo/homePage?userId=35779
,CNGD35154,中山大学海珠校区（南校区）惺亭,活动,icardyou,李青猿,China,广东,7/9/2020 1:22,7/17/2020 8:14,学校 中山大学,https://icardyou.icu/sendpostcard/postcardDetail/1077824,https://icardyou.icu/userInfo/homePage?userId=21115
,CNLN4299,马赛男人的舞蹈主要是双腿并拢尽量跳高,活动,icardyou,柠妮,China,辽宁,7/5/2020 10:09,7/15/2020 20:16,非洲 摄影,https://icardyou.icu/sendpostcard/postcardDetail/1077877,https://icardyou.icu/userInfo/homePage?userId=38155
,CNSH16618,吴语水乡苏州,活动,icardyou,请先看主页,China,上海,7/5/2020 21:22,7/7/2020 20:23,苏州 三生有信,https://icardyou.icu/sendpostcard/postcardDetail/1079369,https://icardyou.icu/userInfo/homePage?userId=37673
,CNTM32053,中国山西平遥古镇,活动,icardyou,陈淀,China,广东,7/7/2020 15:41,7/15/2020 7:13,景点 山西 平遥,https://icardyou.icu/sendpostcard/postcardDetail/1079730,https://icardyou.icu/userInfo/homePage?userId=23899
,CNGD35558,忆江南最忆是西塘,活动,icardyou,李小狸,China,广东,8/7/2020 12:00,8/26/2020 20:27,古镇 西塘 景点 猫的天空之城,https://icardyou.icu/sendpostcard/postcardDetail/1080480,https://icardyou.icu/userInfo/homePage?userId=37221
,CNZJ17075,奈良若草山,活动,icardyou,咩影追云,China,浙江,7/14/2020 8:56,7/17/2020 8:11,风景 奈良 日本,https://icardyou.icu/sendpostcard/postcardDetail/1080482,https://icardyou.icu/userInfo/homePage?userId=37425
,CNSH18548,上海交通大学徐汇校区人文地图,活动,icardyou,萧宇(只寄不收),China,上海,10/5/2020 10:57,10/8/2020 8:52,学校 上海交通大学 地图,https://icardyou.icu/sendpostcard/postcardDetail/1097251,https://icardyou.icu/userInfo/homePage?userId=38583
,CNSH18617,上海城隍庙九曲桥,赠送,icardyou,Major K,China,上海,10/6/2020 9:58,10/8/2020 8:50,上海 景点 邮资片,https://icardyou.icu/sendpostcard/postcardDetail/1097648,https://icardyou.icu/userInfo/homePage?userId=35926
,CNTM35591,乌镇,赠送,icardyou,a^o^b,China,上海,10/10/2020 16:24,10/13/2020 20:10,景点 古镇 乌镇,https://icardyou.icu/sendpostcard/postcardDetail/1097873,https://icardyou.icu/userInfo/homePage?userId=36648
,CNJS12770,无与伦比的美丽,活动,icardyou,朝雨,China,江苏,10/16/2020 17:39,10/22/2020 19:30,信的恋人 动物 蝴蝶,https://icardyou.icu/sendpostcard/postcardDetail/1098462,https://icardyou.icu/userInfo/homePage?userId=38180
,CNTM36019,环游旅记,活动,icardyou,flawless,China,山东,10/23/2020 20:09,10/29/2020 20:47,信的恋人,https://icardyou.icu/sendpostcard/postcardDetail/1099590,https://icardyou.icu/userInfo/homePage?userId=38173
,CNZJ18498,最美新疆,活动,icardyou,吴历,China,浙江,10/21/2020 20:47,10/25/2020 21:36,盒片 新疆,https://icardyou.icu/sendpostcard/postcardDetail/1099592,https://icardyou.icu/userInfo/homePage?userId=36948
,CNZJ18501,心中的彼得·潘,活动,icardyou,小颜今天开心吗？,China,浙江,10/16/2020 22:49,10/20/2020 20:56,拾光,https://icardyou.icu/sendpostcard/postcardDetail/1099611,https://icardyou.icu/userInfo/homePage?userId=38592
,CNSH18912,When I think of you the miles between us disappear.,活动,icardyou,请先看主页,China,上海,10/19/2020 9:34,10/20/2020 20:52,盒片,https://icardyou.icu/sendpostcard/postcardDetail/1099617,https://icardyou.icu/userInfo/homePage?userId=37673
,CNTM36022,袋鼠,活动,icardyou,Whale,China,北京,10/17/2020 11:40,10/20/2020 21:14,动物 袋鼠,https://icardyou.icu/sendpostcard/postcardDetail/1099619,https://icardyou.icu/userInfo/homePage?userId=38550
,CNTM36023,彤云密布,活动,icardyou,十里青风,China,福建,10/18/2020 23:25,11/2/2020 20:05,中国美色,https://icardyou.icu/sendpostcard/postcardDetail/1099621,https://icardyou.icu/userInfo/homePage?userId=38609
